1,1,0,0,1,1
1,1,0,0,1,2
1,1,0,0,1,3
1,1,0,0,1,4
1,1,0,0,1,5
1,1,0,0,1,6
1,1,0,0,1,7
1,1,0,0,1,8
1,1,0,0,1,9
1,1,0,0,1,10
1,1,0,0,1,11
0,1,1,0,1,12
0,0,1,1,1,13
0,1,1,0,1,14
1,1,0,0,1,15
0,0,1,1,1,16
0,0,1,1,1,17
0,0,1,1,1,18
0,1,1,0,1,19
1,1,0,0,1,20
1,1,0,0,1,21
0,0,1,1,1,22
1,1,0,0,1,23
1,0,1,0,0,24
1,1,0,0,1,25
0,1,1,0,1,26
0,0,1,1,1,27
1,1,0,0,1,28
0,1,1,0,1,29
1,1,0,0,1,30
0,1,1,0,1,31
1,1,0,0,1,32
0,1,1,0,1,33
0,0,1,1,1,34
1,1,0,0,1,35
0,0,1,1,1,36
0,0,1,1,1,37
1,0,1,0,0,38
0,0,1,1,1,39
0,1,1,0,1,40
0,1,1,0,1,41
0,0,1,1,1,42
1,0,1,0,0,43
1,0,1,0,0,44
0,0,1,1,1,45
1,0,1,0,0,46
1,0,1,0,0,47
0,0,1,1,1,48
0,0,1,1,1,49
0,0,1,1,1,50
1,1,0,0,1,51
0,1,1,0,1,52
0,0,1,1,1,53
1,1,0,0,1,54
1,0,1,0,0,55
0,0,1,1,1,56
1,1,0,0,1,57
0,0,1,1,1,58
0,1,1,0,1,59
0,0,1,1,1,60
1,0,1,0,0,61
0,0,1,1,1,62
0,1,1,0,1,63
0,1,1,0,1,64
0,0,1,1,1,65
0,0,1,1,1,66
0,1,1,0,1,67
1,1,0,0,1,68
1,1,0,0,1,69
1,0,1,0,0,70
1,1,0,0,1,71
1,0,1,0,0,72
0,0,1,1,1,73
1,0,1,0,0,74
0,1,1,0,1,75
1,0,1,0,0,76
0,0,1,1,1,77
1,0,1,0,0,78
1,1,0,0,1,79
0,1,1,0,1,80
1,0,1,0,0,81
0,0,1,1,1,82
1,0,1,0,0,83
1,0,1,0,0,84
0,1,1,0,1,85
0,0,1,1,1,86
1,1,0,0,1,87
1,0,1,0,0,88
1,1,0,0,1,89
1,0,1,0,0,90
1,0,1,0,0,91
0,1,1,0,1,92
1,0,1,0,0,93
0,1,1,0,1,94
1,1,0,0,1,95
0,1,1,0,1,96
1,1,0,0,1,97
1,1,0,0,1,98
1,0,1,0,0,99
1,1,0,0,1,100
